sigle;xml_id;form;lemma_id;lemma;sprachen;sense_ids;kontext
AX;AX_408_2;zunge;lemma_7924;zunge;Einzelsprachen;lemma_7924_sense_12998;gotes dienste mange nôt almuosen unde betelbrôt was sîn lîpnarunge sîn ûzerweltiu **zunge** z aller zîte pflac gebetes beide wînes unde metes wênic tranc sîn
BIM;BIM_103_3;zunge;lemma_7924;zunge;Einzelsprachen;lemma_7924_sense_12998;ligen in sinem munde da bi man ouch begunde an im sine **zunge** schouwen di was so unverhouwen von aller unvlate varwe und blut si
BIM;BIM_114_4;zungen;lemma_7924;zunge;Einzelsprachen;lemma_7924_sense_12998;vulen trit daz were gar von dem gebete daz er mit der **zungen** hete unser vrouwen erboten mit vil erlichen roten und mit lobes schalle
CR;CR_1778_1;zunge;lemma_7924;zunge;Einzelsprachen;lemma_7924_sense_12998;unt hüete daz im alsame geschehe nû lâzen dise rede varn tiuschiu **zunge** diu ist arn swer dar inne wil tihten sal die rîme rihten
CRO;CRO_24700_3;zvng;lemma_7924;zunge;Einzelsprachen;lemma_7924_sense_14492;sein tag dar an sein ez ist von dem türlein heinreich des **zvng** nie weibes gantzen lop verlie der vant ditz mære wannen geborn wære
CRO;CRO_7600_3;zvngen;lemma_7924;zunge;Einzelsprachen;lemma_7924_sense_14492;argen muot so ist da pei ein sin vruot wirt er zweir **zvngen** gewar den seinen schilt peut er dar vnd hat in schier wider
DA;DA_4159_5;zungen;lemma_7924;zunge;Einzelsprachen;lemma_7924_sense_12998;niht geregen er mohte niht mê geregen wan diu ougen und die **zungen** dô er sô wart betwungen dis wart ein juncfrouwe gewar diu hâte
DA;DA_6833_3;zunge;lemma_7924;zunge;Einzelsprachen;lemma_7924_sense_12998;spehen houbethafte meisterschaft daz waere hie wider âne kraft dô sprach manic **zunge** dô die ritter junge sament ûf den hof riten ez waere allenthalp
DA;DA_9_2;zungen;lemma_7924;zunge;Einzelsprachen;lemma_7924_sense_12998;von bisenze meister albrich der brâhte ein rede an mich ûz wälscher **zungen** die hân ich des betwungen daz man sie in tiutschen vernimet swenne
DAL;DAL_590550_5;zunge;lemma_7924;zunge;Einzelsprachen;lemma_7924_sense_12998;her nach miner bet als ich ger da von er kuelte die **zunge** min sun daz mac niht sin sprach abraham als ich dir sage
DDS;DDS_1002000_7;zungen;lemma_7924;zunge;Einzelsprachen;lemma_7924_sense_12998;sich mit triuwen wil betragen der sol sich hüeten vor den valschen **zungen** die dâ die liute grüezen der mâz als der krist verriet ir
DDS;DDS_2001000_1;zunge;lemma_7924;zunge;Einzelsprachen;lemma_7924_sense_12998;ungetriuwen hüeten wil der muoz sie mesten sam diu veizten swîn diu **zunge** müeze haben undanc diu vor den liuten sprichet alsô suoze und niender
DMB;DMB_102101060_4;zunge;lemma_7924;zunge;Einzelsprachen;lemma_7924_sense_12998;mensch aller gernst der guten werche wolte phlegen so ist im diu **zunge** gelegen und fueze und hende und lit an sinem ende und ist
DWS;DWS_1960440_3;zunge;lemma_7924;zunge;Einzelsprachen;lemma_7924_sense_14492;sine tur also sol man si uz alle jagen die zweier slachte **zunge** tragen die vor dem manne wol prechent und daz hinder im ze
FB;FB_598008_1;zunge;lemma_7924;zunge;Einzelsprachen;lemma_7924_sense_12998;siht iur ougen uns ouch grüezent niht ouch erstumbent iu zestunt beidiu **zunge** und ouch der munt redt unser einer mit iu dâ ir sprechet
FB;FB_644002_4;zunge;lemma_7924;zunge;Einzelsprachen;lemma_7924_sense_12998;haben danc ir lîp müez immer saelic sîn des wünsche ir diu **zunge** mîn waz darumbe ob manic man diu wîp mit worten triegen kan
FB;FB_645032_1;zungen;lemma_7924;zunge;Einzelsprachen;lemma_7924_sense_12998;valschen sin ir herze treit swâ man von wîben wîpheit saget ir **zungen** lobes dâ sint verzaget ir lobes si gar geswîgent diu houbt in
FB;FB_654004_5;zunge;lemma_7924;zunge;Einzelsprachen;lemma_7924_sense_12998;unguot sô muoz iu immer fluochent sîn daz herze und ouch diu **zunge** mîn nu sult ir frowe mich wizzen lân waz schulde hân gên
